Product code,Product label,India's imports from Japan-Value in 2012,India's imports from Japan-Value in 2013,India's imports from Japan-Value in 2014,India's imports from Japan-Value in 2015,India's imports from Japan-Value in 2016,India's imports from Japan-Value in 2017,India's imports from Japan-Value in 2018,India's imports from Japan-Value in 2019,India's imports from Japan-Value in 2020,India's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
903090,Parts and accessories for instruments and apparatus for measuring or checking electrical quantities ...,3386,1713,2526,1885,2604,2895,3427,4335,3804,4250,,1211158,871629,923983,996663,927046,1328902,1359412,1308664,1471363,1763480,,72670,69448,88049,82443,84352,81609,107082,101119,80512,103482
844332,"Machines which only perform one of the functions of printing, copying or facsimile transmission, ...",18169,14005,12748,10492,8889,9352,11293,7087,5268,4248,,983270,801660,786271,759995,779170,689703,744085,722393,541396,653027,,253993,210084,199308,209193,177031,216011,229301,202663,129001,194270
845730,Multi-station transfer machines for working metal,9710,7453,12995,8588,3618,3092,8074,5821,3291,4241,,97671,44719,40784,9321,13877,31546,23802,39223,13675,10408,,35687,47267,30301,28666,21495,21262,31058,23675,14835,20416
730490,"Tubes, pipes and hollow profiles, seamless, of non-circular cross-section, of iron or steel ...",26108,20506,25499,22899,39295,7241,7868,4777,1731,4157,,17089,15712,18858,16023,6993,7408,5997,4221,3500,4687,,230364,220229,219215,183369,141734,123183,136719,170918,73801,141810
841311,"Pumps fitted or designed to be fitted with a measuring device, for dispensing fuel or lubricants, ...",4749,566,1071,834,956,3378,3654,2809,1980,4143,,39819,39168,23924,21833,26170,28994,31007,30764,26158,28861,,25624,17760,8968,7044,13813,24514,23112,23369,7972,12110
292610,Acrylonitrile,83,257,3302,15,47,1272,19,0,0,4133,,244546,184887,95082,6483,15950,33709,70224,81720,96857,100068,,153069,169137,207443,187301,157406,220081,361566,276654,194627,360323
901812,Ultrasonic scanning apparatus,3768,7401,8166,9672,7042,8250,7861,7620,8323,4107,,544598,463656,455221,405147,406800,410020,444426,431254,353105,406893,,92869,92318,99621,101334,107379,131406,162280,171780,141431,201606
853329,Fixed electrical resistors for a power handling capacity > 20 W (excluding heating resistors),4649,3927,3853,3139,3726,3028,3423,3156,3416,4094,,38186,35947,42775,34816,46408,47881,43043,33288,29371,37405,,32255,27756,32028,28881,30758,35890,57216,47552,45603,67858
844849,"Parts and accessories of weaving machines """"looms"""" and their auxiliary machinery, n.e.s.""""",3735,5190,5590,5972,9965,21088,7286,4317,2887,4040,,43720,41540,34800,32310,38534,45210,49162,43391,29379,37107,,56944,38980,37540,37115,52338,65884,58690,69206,29300,53533
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,11243,7673,4667,4419,4851,3707,7210,9071,5009,4033,,563584,497626,431855,357144,395482,457596,515283,482689,501694,691433,,183573,203393,228981,202675,172170,234005,292354,309597,262070,378214
