Product code,Product label,"Korea, Republic of's imports from Japan-Value in 2012","Korea, Republic of's imports from Japan-Value in 2013","Korea, Republic of's imports from Japan-Value in 2014","Korea, Republic of's imports from Japan-Value in 2015","Korea, Republic of's imports from Japan-Value in 2016","Korea, Republic of's imports from Japan-Value in 2017","Korea, Republic of's imports from Japan-Value in 2018","Korea, Republic of's imports from Japan-Value in 2019","Korea, Republic of's imports from Japan-Value in 2020","Korea, Republic of's imports from Japan-Value in 2021",Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
660320,"Umbrella frames, incl. frames mounted on shafts """"sticks"""", for umbrellas and sun umbrellas ...""",0,1,0,0,0,0,0,0,0,0,,25,21,5,0,3,13,5,3,3,0,,440,291,564,305,471,331,375,459,486,577
482361,"Trays, dishes, plates, cups and the like, of bamboo paper or bamboo paperboard",0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,3,11,3,0,,0,5,0,1,1,2,11,58,38,8
520621,"Single cotton yarn containing predominantly, but < 85% cotton by weight, of combed fibres ...""",8,0,0,0,0,0,4,0,0,0,,462,691,120,222,54,116,100,47,66,117,,413,118,100,825,1444,1645,78,18,103,266
520624,"Single cotton yarn containing predominantly, but < 85% cotton by weight, of combed fibres ...""",0,0,0,0,0,0,0,0,0,0,,1176,1067,2182,1922,640,1110,806,1835,638,576,,31548,32713,35215,27671,24174,18966,17791,16112,15230,24298
510121,"Shorn wool, degreased, non-carbonised, neither carded nor combed",0,0,0,0,0,0,0,0,0,0,,0,0,83,0,0,0,0,0,0,0,,742,754,691,385,344,170,182,453,288,301
510310,Noils of wool or of fine animal hair (excluding garnetted stock),56,0,0,0,0,0,0,0,0,0,,557,421,0,0,0,0,0,0,0,0,,1035,1687,1765,1744,1349,824,1276,1070,428,295
551339,"Woven fabrics containing predominantly, but < 85% synthetic staple fibres by weight, mixed ...",5,0,0,0,9,14,0,4,3,0,,4113,3450,3407,3205,3277,3380,3252,4546,1743,2023,,14,25,104,47,257,131,163,771,865,118
530310,"Jute and other textile bast fibres, raw or retted (excluding flax, true hemp and ramie)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,2201,2221,384,487,1385,1462,933,1871,2702,3206
550130,"Filament tow as specified in Note 1 to chapter 55, acrylic or modacrylic",12,15,6,33,22,2,0,1,0,0,,258774,256875,299844,323699,316403,261940,290715,314355,271678,337294,,94,48,61,88,597,608,172,15,25,17
811251,Unwrought thallium; thallium powders,0,0,0,0,0,0,0,0,0,0,,637,704,490,447,663,1005,4,5,0,0,,0,6,0,0,0,0,20,0,0,2
810720,Unwrought cadmium; cadmium powders,9,17,2,76,2,2,2,1,2,0,,1800,1686,1431,1311,1710,2110,3448,3759,3117,3661,,20,37,17,79,6,6,10,16,18,15
761490,"Stranded wires, cables, ropes and similar articles, of aluminium (other than with steel core ...",31,4,23,14,1,14,8,3,0,0,,79,850,1641,56,4437,2468,128,806,261,545,,491,815,2152,1522,3412,4370,3533,10963,35211,45321
780420,"Lead powders and flakes (excluding grains of lead, and spangles of heading 8308)",17,11,9,3,0,0,0,0,0,0,,36,15,13,47,31,33,19,6,3,6,,7349,10280,12159,12688,18861,28309,24424,20331,10036,9881
790400,"Zinc bars, rods, profiles and wire, n.e.s.",0,0,0,3,0,0,0,0,0,0,,1103,1154,886,669,1052,1988,2481,1838,1481,1237,,958,625,2067,1637,6027,1701,1273,1629,1230,1009
730519,"Line pipe of a kind used for oil or gas pipelines, having circular cross-sections and an external ...",4,1,1,0,0,0,9,8,0,0,,0,32,4,0,0,0,0,44,0,70,,365,1057,2418,388,22,1359,539,121,15,179
710820,Monetary gold,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,32,29,33,80,93,29,12,2
711230,Ash containing precious metal or precious-metal compounds,0,0,0,0,0,0,0,0,0,0,,0,10245,414,82,0,7,49,0,992,1533,,0,16,88,87,0,25,725,14,43,148
730240,"Fish-plates and sole plates of iron or steel, for railways or tramways",0,0,0,0,5,0,0,0,40,0,,86,361,102,59,115,342,32,82,287,141,,242,155,1835,227,360,792,2618,2334,1649,2132
841960,Machinery for liquefying air or other gases,0,1848,908,1348,2745,1906,1475,18543,50,0,,14358,20588,13365,30985,13313,22395,38980,29026,31105,11557,,14252,9329,5174,2697,39256,21547,44483,84759,29228,62244
841210,Reaction engines other than turbojets,0,123,77,0,1707,6,36,1,4,0,,4473,814,3766,1810,3805,3805,386,752,1949,2556,,4135,1860,4743,5633,5174,270,3716,1297,1654,3024
840310,"Central heating boilers, non-electric (excluding vapour generating boilers and superheated ...",0,73,218,1168,139,7,2,3,85,0,,537,529,4366,1017,970,403,1233,3612,8155,7919,,6160,5223,9444,11029,6970,10817,6793,6855,7858,8584
840420,Condensers for steam or other vapour power units,31,403,16,2,5,0,0,0,52,0,,68266,19011,8530,10094,10604,3230,1537,7773,2952,4461,,1552,500,1397,10638,1917,1875,117,1203,3933,2309
844519,"Machines for preparing textile fibres (excluding carding, combing, drawing or roving machines)",0,0,0,5,41,1,0,6,0,0,,2309,1916,1497,1421,2831,1849,2498,343,87,442,,5423,3362,1513,2214,2381,1143,1567,2286,8807,2280
843610,Machinery for preparing animal feedingstuffs in agricultural holdings and similar undertakings ...,0,110,127,24,24,0,23,0,0,0,,155,129,203,119,355,164,5,250,0,1049,,7222,11748,11847,14504,4730,20052,11527,16786,10836,7104
842831,"Continuous-action elevators and conveyors for goods or materials, for underground use (excluding ...",0,0,0,0,0,0,0,0,0,0,,100,87,412,0,0,0,0,0,2362,0,,0,4,0,69,135,422,779,270,431,448
842840,Escalators and moving walkways,0,1010,0,0,33,0,0,0,0,0,,1988,4802,10358,4733,5847,8208,2651,199,1391,2668,,43746,51278,60128,82150,70458,61667,56871,53829,51411,57071
845940,Boring machines for metals (excluding way-type unit head machines and boring-milling machines),9091,18292,12035,9500,6097,0,0,0,0,0,,65717,48337,38111,41605,33007,0,0,0,0,0,,11824,20932,16841,9933,6918,0,0,0,0,0
845720,"Unit construction machines """"single station"""", for working metal""""",133,548,227,0,0,0,0,144,40,0,,21661,10674,8710,733,1983,533,2312,8167,1879,745,,153,587,261,76,4,386,701,547,62,4
590220,"Tyre cord fabric of high-tenacity polyester yarn, whether or not dipped or impregnated with ...",207,9,212,226,116,56,78,74,0,0,,16493,7700,2793,924,1288,1767,1789,3303,2564,1508,,131674,85248,62137,58305,54711,55153,62147,77150,77470,93153
600543,"Warp knit fabrics of artificial fibres, of yarns of different colours """"incl. those made on ...""",0,0,0,0,0,0,0,0,0,0,,596,651,544,473,680,487,561,463,152,64,,18,0,8,0,0,0,3,0,0,4
610329,"Men's or boys' ensembles of textile materials (excluding wool, fine animal hair, cotton or ...",0,0,0,3,0,0,0,0,0,0,,0,11,8,6,0,6,13,0,0,69,,24,5,168,9,62,3,34,60,100,435
610819,"Women's or girls' slips and petticoats of textile materials, knitted or crocheted (excluding ...",0,0,2,0,1,4,5,2,1,0,,3,8,8,4,0,7,16,5,11,0,,211,1024,511,199,127,407,547,326,221,384
620421,"Women's or girls' ensembles of wool or fine animal hair (excluding knitted or crocheted, ski ...",2,0,0,0,0,0,0,0,12,0,,0,3,3,0,50,2,12,7,5,0,,23,70,68,13,19,12,9,41,28,50
620323,"Men's or boys' ensembles of synthetic fibres (excluding knitted or crocheted, ski ensembles ...",2,0,14,2,1,0,0,1,1,0,,41,43,28,4,14,79,52,18,57,30,,296,654,534,438,1459,2357,3193,3195,3226,3548
681291,"Clothing, clothing accessories, footwear and headgear of asbestos or of mixtures with a basis ...",3,0,1,0,0,0,0,0,0,0,,0,0,0,0,19,0,0,0,0,0,,94,6,1,0,0,0,0,0,0,0
681591,"Articles of stone or other mineral substances, n.e.s. containing magnesite, magnesia in the ...",0,0,0,0,0,0,0,0,0,0,,4,281,62,703,1162,806,54,13,103,374,,599,6088,8025,9021,8990,10332,1015,155,641,33
690590,"Ceramic chimney pots, cowls, chimney liners, architectural ornaments and other ceramic constructional ...",0,158,27,24,13,0,37,0,0,0,,131,251,90,123,498,271,637,462,513,204,,1676,251,35,40,48,220,53,79,411,506
690710,"Unglazed ceramic tiles, mosaic cubes and similar articles, whether or not square or rectangular, ...",4,23,35,22,13,0,0,0,0,0,,788,425,564,587,467,0,0,0,0,0,,549,759,1242,1522,1422,1,0,0,0,0
700232,Tubes of glass having a linear coefficient of expansion <= 5 x 10-6 per kelvin within a temperature ...,32,1,0,29,0,0,0,0,0,0,,2177,2956,732,478,176,233,116,70,43,37,,1109,1515,2111,1263,1510,2653,6587,5083,6064,4976
700312,"Cast glass and rolled glass, in non-wired sheets, coloured throughout the mass """"body tinted"""", ...""",84,27,55,57,110,47,36,25,0,0,,1866,23498,9588,9890,11105,13810,9601,14262,32870,22796,,3686,4563,5337,5186,2730,3575,4501,2897,268,1344
720211,"Ferro-manganese, containing by weight > 2% of carbon",6,43,0,0,0,0,0,1,4,0,,2248,1474,1221,686,1093,1311,1292,1223,1186,1368,,23541,7322,7683,4498,6766,1727,29742,20779,6513,26207
701333,Drinking glasses of lead crystal (excluding stemware),0,0,0,0,1,0,1,0,0,0,,89,17,40,139,125,177,111,171,110,465,,1020,999,1218,1195,604,570,520,507,796,1289
520921,"Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m©÷, ...",0,0,23,0,0,0,0,0,0,0,,1336,935,1045,955,835,1034,1069,895,939,868,,110,248,667,1016,126,68,86,120,37,27
521119,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",0,11,0,22,24,5,0,5,6,0,,1175,689,1221,641,287,2754,2866,1180,341,416,,882,1122,654,895,157,93,258,197,392,701
570210,"Kelem, Schumacks, Karamanie and similar hand-woven rugs, whether or not made up",0,0,0,0,3,1,0,0,1,0,,17,19,0,0,5,4,17,5,0,15,,65,337,257,145,271,324,402,355,452,612
550700,"Artificial staple fibres, carded, combed or otherwise processed for spinning",2,0,0,10,35,13,2,15,2,0,,515,1021,1470,1534,910,1073,470,541,526,145,,847,719,697,635,174,52,49,91,37,83
551634,"Woven fabrics containing predominantly, but < 85% artificial staple fibres by weight, mixed ...",0,0,0,13,2,0,0,0,0,0,,0,0,14,0,5,15,6,0,0,7,,16,14,68,33,23,66,35,15,0,2
551341,"Plain woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, ...",0,0,4,0,19,0,0,0,0,0,,1876,1221,806,1013,819,897,779,978,609,699,,12,50,18,15,24,38,176,58,24,48
520535,"Multiple """"folded"""" or cabled cotton yarn, of uncombed fibres, containing >= 85% cotton by ...""",0,4,0,0,0,0,0,0,0,0,,333,115,51,209,87,35,31,30,28,47,,88,9,10,18,2,0,1,0,0,1
520543,"Multiple """"folded"""" or cabled cotton yarn, of combed fibres, containing >= 85% cotton by weight ...""",0,0,0,0,0,0,0,0,0,0,,186,233,80,148,208,124,101,131,135,67,,1623,1869,1559,1914,2635,3811,5304,5024,3940,4367
520623,"Single cotton yarn containing predominantly, but < 85% cotton by weight, of combed fibres ...""",1,12,0,25,6,8,0,0,0,0,,256,265,246,454,413,282,289,246,283,181,,72531,95945,73182,71321,62204,56416,75706,56643,56951,90815
510531,"Hair of Kashmir """"cashmere"""" goats, carded or combed""""",0,0,0,0,14,0,408,253,0,0,,31,66,13,0,13,41,174,122,6,3,,5218,5560,8825,11002,13628,14997,16957,16785,11309,12977
520299,"Cotton waste (excluding yarn waste, thread waste and garnetted stock)",0,0,0,0,0,0,1,0,0,0,,543,198,111,156,103,138,111,225,86,192,,25,25,91,2,53,4,172,97,400,444
450190,"Cork waste; crushed, powdered or ground cork",0,0,0,0,0,0,0,0,0,0,,297,262,209,148,118,131,87,109,107,104,,393,402,370,175,183,199,406,358,347,645
470411,"Unbleached coniferous chemical wood pulp, sulphite (excluding dissolving grades)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6,8,25,,0,0,2,322,57,35,0,0,0,0
470429,"Semi-bleached or bleached non-coniferous chemical wood pulp, sulphite (excluding dissolving ...",0,0,0,0,0,0,0,0,0,0,,94,0,0,0,0,0,0,0,0,0,,226,259,481,275,341,365,347,370,471,1229
470630,Pulps of fibrous cellulosic bamboo material,0,0,0,0,0,5,3,4,0,0,,0,0,0,0,0,0,0,3,0,0,,32,161,224,45,0,150,291,223,240,453
470691,"Mechanical pulp of fibrous cellulosic material (excluding that of bamboo, wood, cotton linters ...",35,2,0,0,0,0,1,0,0,0,,0,0,3,6,0,0,31,14,43,40,,57,45,46,6,25,16,15,2,12,1
480100,"Newsprint as specified in Note 4 to chapter 48, in rolls of a width > 36 cm or in square or ...",0,0,0,0,0,13,0,1,5,0,,5454,3797,3742,2540,2025,1612,2281,433,259,1548,,62,0,5,4,0,20,23,4,11,7
481320,Cigarette paper in rolls of a width of <= 5 cm,12,0,0,0,0,16,19,0,0,0,,3976,3742,3737,2875,2687,2836,1857,1031,7,0,,22813,22564,19703,18073,21321,18290,23712,22796,30772,23087
480512,"Straw fluting paper, in rolls of a width > 36 cm, weighing >= 130 g/m©÷",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,0,1,0,0,0,0,33,0,0
480550,"Felt paper and paperboard, in rolls of a width > 36 cm or in square or rectangular sheets with ...",3,12,23,16,16,101,1,1,3,0,,17143,11686,8852,6455,8853,9102,8354,5120,1861,1211,,2144,2881,3711,1722,1779,2093,920,812,621,555
842820,Pneumatic elevators and conveyors,2409,351,621,2229,1662,7,2023,140,141,0,,12019,4753,7906,10553,11922,3184,10378,3240,1891,1815,,7516,25705,13598,13032,4649,7453,7441,9665,11592,12321
842832,"Continuous-action elevators and conveyors for goods or materials, bucket type (excluding for ...",70,0,18,13,3,65,1,0,10,0,,9574,4288,7781,4067,2619,1871,6784,5582,1571,839,,717,3205,7225,1125,2010,6435,3258,1486,1297,2160
846011,"Flat-surface grinding machines, for working metal, in which the positioning in any one axis ...",11840,3564,6404,5494,5383,0,0,0,0,0,,106803,67981,53605,52998,52903,0,0,0,0,0,,13214,5834,8239,8482,8062,0,0,0,0,0
847310,"Parts and accessories for typewriters or word-processing machines of heading 8469, n.e.s.",73,9,6,6,0,0,0,0,0,0,,195,220,417,140,801,0,0,0,0,0,,144,343,1174,232,206,0,0,0,0,0
847621,Automatic beverage-vending machines incorporating heating or refrigerating devices,0,0,33,8,5,0,2,213,679,0,,8343,6696,7386,7916,11429,11853,10561,10842,4875,3113,,738,1555,329,386,121,506,936,1616,2269,2063
850231,"Generating sets, wind-powered",1,54,173,147,23,6,33,9,0,0,,76598,2363,1669,2087,117,278,14826,13661,104297,753,,1198,2147,54249,14203,52333,29235,30230,24582,44795,2488
852841,Cathode-ray tube monitors of a kind solely or principally used in an automatic data-processing ...,31,17,23,38,7,0,0,0,0,0,,2201,831,600,274,217,0,0,0,0,0,,98,314,2444,1490,113,0,0,0,0,0
790112,"Unwrought zinc, not alloyed, containing by weight < 99,99% of zinc",1,101,0,0,1,84,46,0,1,0,,93182,88244,84639,63455,31856,58772,71525,58246,50245,95525,,77351,20283,19802,16206,18584,36117,14933,205,423,1907
790310,Zinc dust,0,1,0,2,3,0,1,0,0,0,,366,513,978,967,1801,1373,1379,1218,1050,1262,,2316,2442,4764,4325,4619,1265,1288,780,1510,1408
810320,"Unwrought tantalum, incl. bars and rods of tantalum obtained simply by sintering; tantalum ...",12,67,4,11,0,0,1,9,1,0,,118508,59357,76713,54911,62078,77450,84814,62069,77839,78424,,744,1310,814,650,955,521,31,205,119,294
840130,"Fuel elements """"cartridges"""", non-irradiated, in casing with handling fixtures, for nuclear ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,17,0,0,0,4,69774,69415,,13,7,294,0,0,153,97,0,0,0
840732,"Spark-ignition reciprocating piston engine, of a kind used for the propulsion of vehicles of ...",2,5,14,8,8,2,5,8,2,0,,5914,2367,3245,2426,1931,4571,13321,10443,8085,8019,,114,1953,1258,1837,2396,418,412,109,136,175
830130,"Locks used for furniture, of base metal",1,1,2,12,1,5,1,4,3,0,,1263,1170,1227,510,306,251,297,250,336,309,,625,405,534,662,1504,2281,2038,2164,2444,2855
730810,"Bridges and bridge-sections, of iron or steel",0,0,0,28,0,0,0,0,250,0,,3500,3232,4713,4071,2687,3454,8896,13093,13690,52434,,7528,10387,11760,5602,8645,6136,5578,3322,2821,4461
731581,Stud-link of iron or steel,493,1,0,10393,14,20,4,2,1046,0,,6895,3895,43078,24063,3729,622,436,5472,2626,495,,1363,2591,4842,14980,6783,3866,3572,3085,3675,3628
730520,"Casing of a kind used in drilling for oil or gas, having circular cross-sections and an external ...",0,0,0,0,0,0,0,0,0,0,,99435,122189,73674,57182,56369,41850,45177,64669,34802,25856,,0,6,671,17749,130,1213,0,0,32,0
720719,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",463,5,4,23832,2510,0,1,0,0,0,,374,693,1117,24450,6003,5787,5348,5550,4926,5235,,898,2790,3682,42074,3522,1026,1150,1071,1614,2060
390760,"Poly""""ethylene terephthalate"""", in primary forms""""",15239,21419,16311,16414,10628,48,0,0,0,0,,139284,133570,121364,116582,112500,0,0,0,0,0,,43107,50301,57939,57780,52652,69,0,0,0,0
382474,"Mixtures containing hydrochlorofluorocarbons """"HCFCs"""", whether or not containing perfluorocarbons ...""",0,0,0,0,0,2,0,0,0,0,,0,24,16,79,103,66,137,195,0,0,,719,251,536,745,1266,1313,2723,5829,8709,7895
382477,"Mixtures containing bromomethane """"methyl bromide"""" or bromochloromethane""""",23,13,18,32,33,32,43,22,0,0,,,,,,,,,,,,,34,13,18,32,34,32,43,22,0,0
382487,"Mixtures and preparations containing perfluorooctane sulphonic acid, its salts, perfluorooctane ...",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
350219,"Egg albumin (excluding dried [e.g. in sheets, scales, flakes, powder])",0,0,0,0,0,0,0,0,0,0,,0,3,0,18,19,0,46,75,9,6,,241,628,740,543,777,2151,610,480,1492,2709
441210,"Plywood, veneered panel and similar laminated wood, of bamboo, not containing particle board ...",43,42,41,19,17,18,9,1,1,0,,37,3,8,0,0,7,0,4,0,71,,1192,706,849,773,1624,1117,987,1242,1905,2671
441840,Wooden shuttering for concrete constructional work (excluding plywood boarding),0,0,0,0,0,12,0,0,4,0,,73,225,44,31,274,113,99,266,122,35,,1443,409,295,274,160,442,990,553,908,237
440110,"Fuel wood, in logs, billets, twigs, faggots or similar forms",6,0,4,2,0,0,0,0,0,0,,86,129,119,74,50,0,0,0,0,0,,9,45,63,23,21,0,0,0,0,0
440210,"Bamboo charcoal, incl. shell or nut charcoal, whether or not agglomerated (excluding used as ...",0,0,0,0,0,1,1,6,0,0,,143,280,173,172,173,249,380,212,504,426,,4012,1606,1024,329,503,1696,3559,3588,3703,3414
440610,"Railway or tramway sleepers """"cross-ties"""" of wood, not impregnated""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,1123,2331,244,2133,473,0,0,0,0,0
440612,"Railway or tramway sleepers """"cross-ties"""" of wood, not impregnated, non-coniferous""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1525,1389,545,1014,256
430130,"Raw furskins of the following types of lamb: Astrakhan, Caracul, Persian, Broadtail and similar, ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0
401161,"Pneumatic tyres, new, of rubber, having a """"herring-bone"""" or similar tread, of a kind used ...""",17,64,19,5,11,0,0,0,0,0,,1061,1492,698,739,570,0,0,0,0,0,,984,1567,2648,3060,3107,0,0,0,0,0
401219,"Retreaded pneumatic tyres, of rubber (excluding of a kind used on motor cars, station wagons, ...",0,0,5,6,2,0,1,0,0,0,,8,3,25,54,33,456,3,8,21,4,,3,85,20,51,7,33,19,7,19,46
401310,"Inner tubes, of rubber, of a kind used on motor cars, incl. station wagons and racing cars, ...",12,3,2,1,1,0,0,0,0,0,,151,130,214,132,138,124,112,224,72,15,,1260,1352,393,757,161,25,127,108,69,69
410320,"Raw hides and skins of reptiles, fresh or salted, dried, limed, pickled or otherwise preserved ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,10,,2256,4547,3977,3152,3606,2025,1827,1993,1815,1276
410530,"Skins of sheep or lambs, in the dry state """"crust"""", without wool on, whether or not split ...""",29,47,53,56,48,0,1,24,2,0,,85,168,157,127,153,98,163,157,130,19,,2177,2923,1706,1213,2294,1038,1164,1394,1289,860
410622,"Hides and skins of goats or kids, in the dry state """"crust"""", without wool on, whether or ...""",0,0,0,0,34,4,0,0,0,0,,69,31,0,27,0,15,7,3,3,0,,1529,860,901,1160,954,821,678,408,111,89
300441,"Medicaments containing ephedrine or its salts, not containing hormones, steroids used as hormones ...""",0,0,0,0,0,0,16,24,0,0,,0,0,0,0,0,255,383,136,474,924,,0,0,0,0,0,3,57,24,3,3
300442,"Medicaments containing pseudoephedrine """"INN"""" or its salts, not containing hormones, steroids ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,17,21,5,36,59,,0,0,0,0,0,0,0,0,0,57
330130,Resinoids,0,0,0,0,0,0,0,7,0,0,,5,24,4,0,0,29,15,23,19,9,,296,274,253,277,410,246,408,397,372,141
293944,Norephedrine and its salts,0,0,0,0,0,0,0,0,0,0,,1974,3119,819,855,263,69,200,175,426,9,,0,0,0,0,0,0,0,0,0,1
293969,"Alkaloids of rye ergot and their derivatives; salts thereof (excluding lysergic acid, ergotamine ...",0,0,0,1,0,0,0,0,0,0,,19,0,0,2,0,0,14,0,0,0,,6919,3802,4686,3704,3319,3548,2675,2755,4157,2531
293550,"Perfluorooctane sulphonamides (excl. N-Methylperfluorooctane sulphonamide, N-Ethylperfluorooctane ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,9,15,2,6,12
293080,"Aldicarb (ISO), Captafol (ISO) and methamidophos (ISO)",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,9,1,0,4,1
293134,Sodium 3-(trihydroxysilyl)propyl methylphosphonate,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,2,1,1
293333,"Alfentanil """"INN"""", anileridine """"INN"""", bezitramide """"INN"""", bromazepam """"INN"""", carfentanil ...""",0,0,0,0,0,0,0,0,0,0,,0,9,4,0,0,17,452,0,0,0,,1016,1018,691,930,678,688,686,986,926,1161
284910,"Carbides of calcium, whether or not chemically defined",1,1,0,0,0,0,0,0,2,0,,15,49,28,0,12,9,54,0,0,9,,3143,3019,2900,4493,3874,4910,4343,1719,1205,1467
290375,Dichloropentafluoropropanes,78,431,181,45,33,64,66,25,0,0,,5786,8180,3069,1109,1187,1043,1072,722,74,0,,78,431,182,45,33,64,66,25,0,0
290381,"1,2,3,4,5,6-Hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, INN)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,29,0,48,77,5,6,7,3,2,2
290435,"Salts of perfluorooctane sulphonic acid (excl. ammonium, lithium and potassium perfluorooctane ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,17,0,0,0,0,,0,0,0,0,0,89,90,90,90,89
292340,Didecyldimethylammonium perfluorooctane sulphonate,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,2,0,0,1,0
292411,"Meprobamate """"INN""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0,0,0,,4,0,0,0,0,0,0,0,0,0
291634,Phenylacetic acid and its salts,0,0,0,0,5,0,0,0,0,0,,8,29,0,12,13,0,0,0,0,0,,57,6,14,27,19,73,134,14,2,9
291221,Benzaldehyde,0,1,6,1,1,0,0,0,0,0,,178,506,857,120,7,5,0,4,0,0,,4277,4967,5903,6808,6788,6705,6358,6464,4595,6300
291242,"Ethylvanillin """"3-ethoxy-4-hydroxybenzaldehyde""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,7,0,6,,360,196,314,271,321,423,330,303,363,543
110630,"Flour, meal and powder of produce of chapter 8 """"Edible fruit and nuts; peel of citrus fruits ...""",4,24,23,24,4,2,2,5,0,0,,145,298,238,498,471,494,464,468,418,468,,6370,6474,11965,24130,42504,36834,11235,7011,7502,7671
120110,"Soya bean seed, for sowing",0,0,0,0,0,0,0,0,0,0,,297,240,218,142,362,131,29,203,22,124,,1,0,125,0,0,0,1,0,0,0
120241,"Groundnuts, in shell (excluding seed for sowing, roasted or otherwise cooked)",0,0,0,0,0,0,0,0,0,0,,17,6,0,0,0,0,0,0,0,0,,178,153,276,148,149,120,122,141,261,171
120729,Cotton seeds (excluding for sowing),0,0,0,0,0,0,0,0,0,0,,0,0,0,5,0,0,0,0,0,0,,46906,51489,68826,58116,52268,44858,38529,38083,40876,51951
120791,"Poppy seeds, whether or not broken",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,2,0,,86,76,119,71,123,82,85,17,50,42
120910,"Sugar beet seed, for sowing",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,,0,0,0,1,1,2,5,7,0,0
120924,"Kentucky blue grass """"Poa pratensis L."""" seed for sowing""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,1033,1345,626,737,936,1005,1055,840,1025,1348
40229,"Milk and cream in solid forms, of a fat content by weight of > 1,5%, sweetened",0,0,0,0,0,0,0,0,0,0,,998,1471,2664,1544,1734,1973,1679,417,16,562,,170,88,68,2,16,3,5,4,2,0
40640,"Blue-veined cheese and other cheese containing veins produced by """"Penicillium roqueforti""""""""",0,0,0,0,0,0,0,0,0,0,,6,3,8,0,2,0,0,0,0,3,,895,2597,4078,3761,2975,3084,2638,2568,2820,2737
40899,"Birds' eggs, not in shell, fresh, cooked by steaming or boiling in water, moulded, frozen or ...",0,0,0,0,0,0,0,0,0,0,,37,15,36,200,307,246,296,399,251,169,,715,1097,2544,2426,2565,13156,2864,1979,940,12958
50100,"Human hair, unworked, whether or not washed or scoured; waste of human hair",0,0,0,0,0,0,0,1,1,0,,23,0,10,0,199,283,267,446,426,507,,142,35,67,80,259,274,395,221,151,228
50690,"Bones and horn-cores and their powder and waste, unworked, defatted, degelatinised or simply ...",0,0,0,0,0,0,0,0,0,0,,46,20,77,77,34,167,89,197,203,120,,922,761,546,489,645,452,467,601,893,1861
30691,"Rock lobster and other sea crawfish """"Palinurus spp., Panulirus spp. and Jasus spp."""", whether ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,3,0,,0,0,0,0,0,0,0,0,0,0
30741,"Live, fresh or chilled, not smoked, cuttle fish """"Sepia officinalis, Rossia macrosoma, Sepiola ...""",0,0,15,7,0,0,0,0,0,0,,5,0,5,7,0,0,0,0,0,0,,0,0,22,53,6,0,0,0,0,0
