Product code,Product label,Saudi Arabia's imports from United States of America-Value in 2012,Saudi Arabia's imports from United States of America-Value in 2013,Saudi Arabia's imports from United States of America-Value in 2014,Saudi Arabia's imports from United States of America-Value in 2015,Saudi Arabia's imports from United States of America-Value in 2016,Saudi Arabia's imports from United States of America-Value in 2017,Saudi Arabia's imports from United States of America-Value in 2018,Saudi Arabia's imports from United States of America-Value in 2019,Saudi Arabia's imports from United States of America-Value in 2020,Saudi Arabia's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
294120,Streptomycins and their derivatives; salts thereof,0,0,0,0,0,0,0,0,0,0,,2222,2308,1752,1342,2515,4652,3201,3317,4091,5241,,5795,10251,9479,13450,3966,10518,7151,12064,9484,9292
294140,Chloramphenicol and its derivatives; salts thereof,0,0,0,0,0,0,0,0,0,0,,4333,5626,2041,135,33,207,119,80,156,514,,875,513,615,352,483,541,732,657,863,345
390769,"Poly""""ethylene terephthalate"""", in primary forms, having a viscosity number of < 78 ml/g""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,264958,256380,243789,234747,286042,,0,0,0,0,0,0,0,0,0,14691
382473,"Mixtures containing hydrobromofluorocarbons """"HBFCs""""""""",0,0,0,0,0,0,0,0,0,0,,44,57,16,51,27,46,132,15,85,0,,0,0,0,0,0,102,0,0,0,0
382482,"Mixtures and preparations containing polychlorinated biphenyls """"PCBs"""", polychlorinated terphenyls ...""",0,0,0,0,0,0,88,0,0,0,,147,373,741,805,375,9451,5509,450,611,356,,85,183,31,313,142,426,796,764,253,432
381700,Mixed alkylbenzenes and mixed alkylnaphthalenes produced by the alkylation of benzene and naphthalene ...,0,0,0,0,0,1575,0,0,16,0,,362691,332148,321597,252823,194675,220021,236784,210502,194821,279280,,26075,17990,12178,12356,14528,9369,893,1330,492,185
380610,Rosin and resin acids,0,0,0,0,0,0,0,0,0,0,,18321,23387,19547,22468,19588,22305,21425,14726,14822,31423,,1295,577,547,513,305,339,249,270,195,629
410449,"Hides and skins of bovine """"incl. buffalo"""" or equine animals, in the dry state """"crust"""", ...""",0,0,0,0,0,0,6,0,0,0,,4859,4832,7039,7150,6123,2832,4044,2176,1169,857,,117,39,84,1,21,1,13,3,0,0
410719,"Leather """"incl. parchment-dressed leather"""" of the whole hides and skins of bovine """"incl. ...""",62,0,49,0,0,0,0,0,0,0,,29921,17105,21004,33448,36295,31078,24882,30135,22006,30456,,153,0,172,142,22,40,12,19,3,40
411310,"Leather further prepared after tanning or crusting """"incl. parchment-dressed leather"""", of ...""",0,0,0,0,0,0,0,0,0,0,,1202,965,945,665,702,277,296,419,131,80,,0,200,0,23,10,46,0,3,0,0
