Product code,Product label,Viet Nam's imports from India-Value in 2012,Viet Nam's imports from India-Value in 2013,Viet Nam's imports from India-Value in 2014,Viet Nam's imports from India-Value in 2015,Viet Nam's imports from India-Value in 2016,Viet Nam's imports from India-Value in 2017,Viet Nam's imports from India-Value in 2018,Viet Nam's imports from India-Value in 2019,Viet Nam's imports from India-Value in 2020,Viet Nam's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",0,0,0,0,0,0,0,0,0,,,4505,921,288,4546,3638,1759,1355,2947,1256,15,,17652,34504,89641,139437,195449,46200,38033,85791,61026,131272
870332,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",0,0,0,0,0,0,0,0,0,,,19346,51331,93024,66202,138272,199452,275874,192188,69627,37141,,11859,9640,6128,7057,32004,109554,259979,317199,221345,430659
870431,"Motor vehicles for the transport of goods, with only spark-ignition internal combustion piston ...",0,0,0,0,0,0,0,0,0,,,101,5026,3944,4902,2214,4972,7451,7334,3851,12846,,7337,18083,25999,40479,54492,34227,26789,25145,13828,59691
870892,"Silencers """"mufflers"""" and exhaust pipes, and parts thereof, for tractors, motor vehicles ...""",9,174,90,127,133,708,2370,2104,2248,,,16053,30126,41468,29151,21599,54833,123137,138221,127683,187131,,14137,17070,18960,26234,34426,30596,45230,51499,50125,46345
870894,"Steering wheels, steering columns and steering boxes, and parts thereof, for tractors, motor ...",8,90,65,85,173,3850,6701,7964,9278,,,25223,30258,31801,38031,74237,163088,176995,197205,149352,227299,,27574,40908,49398,64738,72313,64610,84336,110720,107271,121415
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",65,1334,1721,2351,3073,6106,17161,24982,27974,,,2528274,2588978,2696063,2462318,2379582,2483453,2769665,2633065,2128311,3072828,,113850,106306,157277,238409,308042,277179,331047,357457,318853,1061105
871500,"Baby carriages and parts thereof, n.e.s.",0,0,0,0,0,0,0,0,0,,,131,265,255,155,103,201,371,511,409,221,,881,1182,1311,2178,2773,3452,3293,3699,4662,24761
871690,"Parts of trailers and semi-trailers and other vehicles not mechanically propelled, n.e.s.",0,0,0,15,4,6,6,35,36,,,23136,29285,28885,36764,44146,65328,87509,100618,87429,156466,,6795,6903,17855,34466,24545,19309,20914,24995,23347,55732
900130,Contact lenses,0,0,0,0,17,0,0,0,0,,,8802,11584,10825,6742,6587,8651,9504,10756,9659,16323,,1179,1725,1301,4059,6446,2927,1574,2490,1928,1905
900510,Binoculars,0,0,0,0,0,287,3,0,0,,,2828,313,207,1024,1165,2636,3909,371,251,874,,2234,1328,3300,1999,3798,2466,1944,1371,1947,886
901010,Apparatus and equipment for automatically developing photographic or cinematographic film or ...,0,0,0,0,0,0,0,0,0,,,303,72,76,96,231,81,22,32,72,54,,1690,1415,724,753,765,397,165,1464,1837,688
901380,"Liquid crystal devices, n.e.s. and other optical appliances and instruments not elsewhere specified ...",0,0,0,0,0,1,2,1,0,,,1158,2848,10441,7771,25586,11126,5697,2628,9223,3931,,32484,24051,45394,12766,381218,2138995,2979300,1567929,796111,3089305
901410,Direction finding compasses,0,0,0,0,0,0,0,0,0,,,458,726,394,377,251,544,659,858,1209,1511,,3627,3851,4829,4113,6008,3223,1556,1853,2006,1069
902110,Orthopaedic or fracture appliances,173,445,761,1317,1634,2724,4087,4678,2150,,,15713,20145,21616,25224,27592,30479,35514,51305,48864,62456,,13518,16280,18892,23526,33782,53031,41931,45149,45852,32199
902129,Dental fittings (excl. artificial teeth),0,0,0,0,0,0,7,8,0,,,2190,1892,914,4775,2626,2554,2351,3830,3322,6259,,3016,2760,3470,4069,4796,8035,15467,21204,14722,15289
902511,"Thermometers, liquid-filled, for direct reading, not combined with other instruments",2,0,5,0,0,25,0,1,5,,,1520,2026,1838,1339,1474,1666,2215,2512,2627,2124,,648,760,817,901,1350,1048,771,1140,1651,1193
902620,Instruments and apparatus for measuring or checking pressure of liquids or gases (excluding ...,1122,94,615,248,829,608,1910,2579,7325,,,22228,30482,38095,31342,25921,33555,59768,62436,61885,64567,,23464,25543,26781,31134,28942,31949,45096,53902,62378,51205
902710,Gas or smoke analysis apparatus,12,1,134,15,26,26,699,90,120,,,6125,6635,12358,8882,26561,9394,19439,12989,15136,14490,,29924,21743,20666,17972,20241,24703,30787,34898,30625,28299
902890,"Parts and accessories for gas, liquid or electricity supply or production meters, n.e.s.",1,1,5,1,14,29,34,51,3,,,41259,28396,41320,40101,64504,71689,29109,37475,26709,27686,,8366,7267,6412,15155,51573,40808,51903,82497,84174,68928
903033,"Instruments and apparatus for measuring or checking voltage, current, resistance or electrical ...",33,103,149,255,512,522,809,717,879,,,9186,11174,12260,15065,12897,14955,23041,23217,23321,51074,,23699,18809,34464,31566,30766,48700,33783,52816,69528,29797
