Product code,Product label,Singapore's imports from Australia-Value in 2012,Singapore's imports from Australia-Value in 2013,Singapore's imports from Australia-Value in 2014,Singapore's imports from Australia-Value in 2015,Singapore's imports from Australia-Value in 2016,Singapore's imports from Australia-Value in 2017,Singapore's imports from Australia-Value in 2018,Singapore's imports from Australia-Value in 2019,Singapore's imports from Australia-Value in 2020,Singapore's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
293890,"Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other ...""",0,0,3,1,0,0,0,0,0,0,,168,219,424,53,117,54,67,115,111,174,,1379,2367,13924,15066,2528,3900,4744,7770,9240,9597
310390,"Mineral or chemical phosphatic fertilisers (excluding superphosphates, those in pellet or similar ...",0,0,0,0,0,0,0,0,0,0,,464,537,1113,573,275,38,23,391,141,509,,748,174,7,88,16,17,120,178,216,127
293930,Caffeine and its salts,0,8,0,1,0,0,0,0,0,0,,2,0,25,26,51,22,258,23,26,115,,5693,8009,8916,8088,9289,13050,15275,16036,16776,24747
293941,Ephedrine and its salts,0,0,0,0,0,0,0,0,0,0,,2,2,1,3,8,4,2,2,7,10,,536,520,435,366,457,308,292,471,169,203
293942,"Pseudoephedrine """"INN"""" and its salts""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,23,0,0,0,0,0,0,,2487,3090,1796,2580,1556,1115,1034,990,1113,870
293951,"Fenetylline """"INN"""" and its salts""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0
294150,Erythromycin and its derivatives; salts thereof,0,0,0,0,0,0,0,0,0,0,,171,398,2197,1,1939,922,0,1396,904,1057,,2604,23963,7804,2950,1217,9505,21688,10038,3529,8811
300211,Malaria diagnostic test kits,0,0,0,0,0,0,0,8,0,0,,0,0,0,0,0,130,363,476,386,50,,0,0,0,0,0,0,195,216,356,10610
300431,"Medicaments containing insulin but not antibiotics, put up in measured doses """"incl. those ...""",0,0,0,0,0,0,33,0,8,0,,3448,3647,3839,2286,2752,2041,4304,1988,1095,2393,,3340,2817,0,0,0,6268,6971,10487,24218,34027
382481,"Mixtures and preparations containing oxirane """"ethylene oxide""""""""",0,0,0,0,0,0,0,0,0,0,,19,54,212,103,5,19,2,0,0,5,,9,0,0,1,0,0,0,0,0,0
382520,Sewage sludge,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,24,28,0,161,,2,0,0,0,0,0,0,0,0,0
382541,"Waste organic solvents, halogenated",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
