Product code,Product label,"Germany's imports from Korea, Republic of-Value in 2012","Germany's imports from Korea, Republic of-Value in 2013","Germany's imports from Korea, Republic of-Value in 2014","Germany's imports from Korea, Republic of-Value in 2015","Germany's imports from Korea, Republic of-Value in 2016","Germany's imports from Korea, Republic of-Value in 2017","Germany's imports from Korea, Republic of-Value in 2018","Germany's imports from Korea, Republic of-Value in 2019","Germany's imports from Korea, Republic of-Value in 2020","Germany's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
290319,Saturated chlorinated derivatives of acyclic hydrocarbons (excluding chloromethane [methyl ...,0,0,0,0,0,1,0,0,0,0,,98,219,419,1369,455,317,458,373,420,484,,2788,2636,2763,2948,917,1923,1047,2369,1400,3229
290323,"Tetrachloroethylene """"perchloroethylene""""""""",0,0,0,0,0,0,0,0,0,0,,1293,582,532,259,49,12,0,50,321,249,,1830,1575,1303,3828,4543,3109,1042,914,1056,1330
284800,"Phosphides, whether or not chemically defined (excluding ferrophosphorus)",0,0,0,0,0,0,0,0,0,0,,1330,2183,2669,6079,9809,0,0,0,0,0,,6827,7901,9663,10348,11553,0,0,0,0,0
283210,Sodium sulphites,0,0,0,0,0,0,0,0,0,0,,225,102,248,72,88,178,164,65,85,89,,2987,2220,2049,1543,1622,2290,3410,2231,2626,3383
283539,"Polyphosphates, whether or not chemically defined (excluding sodium triphosphate """"sodium ...""",0,0,0,0,0,0,0,0,1,0,,2147,2546,2228,2364,2846,2772,2663,2212,1377,1171,,29459,31475,40904,35601,31530,32776,35384,31890,33735,38780
284150,Chromates and dichromates; peroxochromates (excluding sodium dichromate and  inorganic or organic ...,0,0,0,0,0,0,0,0,0,0,,1501,1792,1964,1949,2675,2656,2346,2460,2252,1645,,3488,5970,3608,483,545,872,445,366,241,264
282010,Manganese dioxide,0,0,3,0,0,0,0,0,0,0,,40,434,140,82,18,16,37,10,25,14,,30189,29376,33578,31218,25276,24533,28289,26715,26974,28836
282090,Manganese oxides (excluding manganese dioxide),0,0,0,0,0,25,0,0,0,0,,2930,5248,9601,6335,7421,17870,14611,13932,8211,12743,,5486,6234,5508,4172,3491,3861,3554,3372,2446,3826
282540,Nickel oxides and hydroxides,1,0,0,0,0,25,1,1,0,0,,462,168,275,363,244,870,2350,1777,2105,3100,,10806,8984,8503,8869,6736,7950,7207,6670,7759,5616
282751,Bromides of sodium or of potassium,0,0,0,0,0,0,0,0,0,0,,0,0,2,50,102,165,295,31,38,38,,4215,5694,5913,5496,5493,6448,10161,8374,8041,11870
281000,Oxides of boron; boric acids,0,0,0,0,0,0,0,0,0,0,,1134,3923,4026,693,1835,651,206,138,531,1050,,29680,30420,26191,22179,19982,22904,24387,21400,20683,23653
281112,"Hydrogen cyanide """"hydrocyanic acid""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,44,0,295,188,320
281129,"Inorganic oxygen compounds of non-metals (excluding diphosphorus pentaoxide, oxides of boron, ...",22,751,97,1,0,0,0,1,2,0,,3331,3874,5548,8202,8491,15310,11851,17359,31260,48328,,13777,15749,17441,15184,16500,16688,25360,26218,27422,19213
271119,"Gaseous hydrocarbons, liquefied, n.e.s. (excluding natural gas, propane, butane, ethylene, ...",0,0,0,0,0,0,0,0,0,0,,57853,76713,74318,69914,141799,126329,107718,57981,41696,103854,,331310,352562,263882,111120,102495,176173,157610,101236,62772,158180
271121,Natural gas in gaseous state,0,0,0,0,0,0,0,0,0,0,,0,27,0,12,7,15,3,3,9,29,,40407163,40953014,35900053,31314518,22610679,23060442,30975605,30331345,22767975,45693494
