Product code,Product label,Singapore's imports from United States of America-Value in 2012,Singapore's imports from United States of America-Value in 2013,Singapore's imports from United States of America-Value in 2014,Singapore's imports from United States of America-Value in 2015,Singapore's imports from United States of America-Value in 2016,Singapore's imports from United States of America-Value in 2017,Singapore's imports from United States of America-Value in 2018,Singapore's imports from United States of America-Value in 2019,Singapore's imports from United States of America-Value in 2020,Singapore's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
711011,"Platinum, unwrought or in powder form",2957,6524,28203,6097,37455,67724,6488,487,21836,90629,,691670,687774,929182,541273,507910,630650,754190,497717,887440,982929,,29797,7297,63242,32175,70017,131494,28868,4666,24468,104209
903190,"Parts and accessories for instruments, appliances and machines for measuring and checking, ...",129890,122083,100472,84650,110851,127424,134064,106295,102883,90332,,892777,881729,975481,925466,891580,1021019,1096363,1048618,960063,1031227,,449497,363549,283850,267931,441725,356670,333823,281746,323620,495981
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",53921,66969,60411,71975,71195,60727,75355,88057,94934,88891,,3255016,3570863,3915829,3624414,3277853,3313514,3704464,3914166,3592091,4488128,,295882,414307,387389,407512,362986,347635,421721,493505,431237,458127
841950,"Heat-exchange units (excluding instantaneous heaters, storage water heaters, boilers and equipment ...",40578,50466,51596,57111,86806,49385,77957,95214,79606,88391,,1216332,1119597,1250651,1122057,1131252,992023,1036963,1256912,950600,1043276,,254946,157357,180842,167233,196802,145230,217471,210541,231729,241362
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",67215,64534,77340,58871,68266,58091,52420,58749,79191,86703,,1864458,2010519,2056817,2024956,1913451,1933251,2144692,2094839,1966354,2447217,,285402,283807,263406,223059,242455,225564,257064,306919,300372,341338
848190,"Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.",106527,145304,141762,114102,82181,100125,94741,111193,100370,86678,,2058512,2411807,2789016,2536668,2021059,2159948,2387750,2494386,1988670,2090047,,383806,526225,511810,413867,352032,416982,416158,445841,465438,451600
903141,Optical instruments and appliances for inspecting semiconductor wafers or devices or for inspecting ...,75349,105206,70313,83874,117280,66641,86613,71947,54781,83500,,1241508,997969,785232,720361,621586,682309,922597,954447,723395,1000029,,113655,149405,114214,120836,187188,142976,240407,156601,162510,186990
847170,Storage units for automatic data-processing machines,128879,127400,138690,107269,106099,97669,95998,91553,70827,83283,,6456889,6090264,6002453,5416662,5839744,5963269,6073329,5296765,5073983,5167540,,2036458,1919414,1953908,1979342,1536879,1854173,1496705,1565024,1373588,1431449
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",141060,80600,83459,118028,69202,100048,115907,105667,96499,82203,,735749,684650,693971,744250,760053,994902,1271714,1274299,1278901,1439288,,1799832,1349398,1229680,1074420,1317220,1826491,1962134,1605801,1401879,1557441
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",48333,45135,44982,49640,62744,65763,64909,61735,65636,82004,,1663103,1863971,1905858,1974649,2381506,2534310,2767694,2627224,2183600,2597053,,274888,285626,275860,306975,373990,379468,406604,505714,494097,633183
