Product code,Product label,Saudi Arabia's imports from Australia-Value in 2012,Saudi Arabia's imports from Australia-Value in 2013,Saudi Arabia's imports from Australia-Value in 2014,Saudi Arabia's imports from Australia-Value in 2015,Saudi Arabia's imports from Australia-Value in 2016,Saudi Arabia's imports from Australia-Value in 2017,Saudi Arabia's imports from Australia-Value in 2018,Saudi Arabia's imports from Australia-Value in 2019,Saudi Arabia's imports from Australia-Value in 2020,Saudi Arabia's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
611219,"Track-suits of textile materials, knitted or crocheted (excluding cotton or synthetic fibres)",0,0,0,0,0,0,0,0,0,0,,3,68,5,79,2,4,15,33,41,127,,2602,646,1016,665,1492,1168,1222,839,783,1580
611594,"Full-length or knee-length stockings, socks and other hosiery, incl. footwear without applied ...",0,0,0,0,0,0,0,0,0,0,,319,314,233,39,82,42,61,95,71,180,,0,61,113,263,88,93,298,214,124,537
611790,"Parts of garments or clothing accessories, knitted or crocheted, n.e.s.",0,0,0,0,0,0,0,0,0,0,,1730,481,701,637,1336,1628,1378,2783,3301,7732,,327,86,270,1531,1000,343,542,395,28,46
620291,"Women's or girls' anoraks, incl. ski jackets, windcheaters, wind-jackets and similar articles, ...",0,0,0,0,0,0,0,0,0,0,,72,21,9,22,74,25,39,60,127,202,,303,0,0,63,55,79,21,21,11,108
620293,"Women's or girls' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres ...",0,0,0,0,0,0,0,0,0,0,,465,200,288,406,257,290,657,1273,1186,1185,,399,221,643,1610,1838,2731,2900,2205,7675,11894
620311,"Men's or boys' suits of wool or fine animal hair (excluding knitted or crocheted, tracksuits, ...",0,0,0,0,0,0,0,0,0,0,,938,534,608,493,528,385,426,344,528,532,,406,389,286,445,698,1307,1316,1148,665,762
620322,"Men's or boys' ensembles of cotton (excluding knitted or crocheted, ski ensembles and swimwear)",0,0,0,0,0,0,0,0,0,0,,185,149,4,10,44,35,32,33,122,192,,33,535,612,717,1390,1595,2263,6588,9498,14356
620339,"Men's or boys' jackets and blazers of textile materials (excluding of wool, fine animal hair, ...",0,0,0,0,0,0,0,0,0,0,,488,521,489,756,613,610,257,591,702,462,,1248,3545,4866,9438,7733,4097,2947,6384,8741,6153
620411,"Women's or girls' suits of wool or fine animal hair (excluding knitted or crocheted, ski overalls ...",0,0,0,0,0,0,0,0,0,0,,7,94,98,0,5,23,103,455,615,512,,1613,38,302,605,537,1121,543,227,49,89
620449,"Women's or girls' dresses of textile materials (excluding of wool, fine animal hair, cotton ...",0,0,0,0,0,42,41,12,20,0,,3720,3892,4080,5768,7345,12388,13573,10930,7025,12896,,165834,157887,114291,134214,97804,96899,98574,111275,60155,65748
620451,Women's or girls' skirts and divided skirts of wool or fine animal hair (excluding knitted ...,0,0,0,0,0,0,0,0,0,0,,37,42,17,35,187,212,208,266,323,494,,0,36,0,206,254,351,388,137,60,611
620463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres ...",0,0,0,0,0,0,54,0,0,0,,1159,912,1619,917,1060,1158,2869,1640,959,1441,,38347,26649,22808,34081,27199,56077,43277,19347,18563,41650
620590,"Men's or boys' shirts of textile materials (excluding of cotton or man-made fibres, knitted ...",0,0,0,0,0,0,0,0,0,0,,313,538,703,734,396,699,823,1375,1523,1343,,54134,30973,13398,16025,10938,6091,9467,6805,4939,2534
630493,"Articles for interior furnishing, of synthetic fibres (excluding knitted or crocheted, blankets ...",0,0,0,0,0,0,0,0,0,0,,355,278,346,258,383,263,582,617,410,639,,1629,2471,1550,2956,3449,6111,7318,8869,7063,6561
690510,Roofing tiles,0,0,0,0,0,0,0,0,0,0,,737,584,677,210,250,438,239,1115,1944,2693,,9042,13542,13208,11004,9110,9904,9469,7230,6828,5583
690723,"Ceramic flags and paving, hearth or wall tiles, of a water absorption coefficient by weight ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,103,358,183,38,190,,0,0,0,0,0,0,0,0,0,76908
690810,"Glazed ceramic tiles, mosaic cubes and similar articles, whether or not square or rectangular, ...",0,0,0,0,0,0,0,0,0,0,,1019,644,452,241,166,0,0,0,0,0,,208798,194361,131185,178830,190847,43,0,0,0,0
