Code,Product label,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021
853650,Switches for a voltage <= 1.000 V (excluding relays and automatic circuit breakers),69160,88401,119337,127227,135157,178192,96909,118585,149315,372509
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",20797,23981,28092,42701,56722,74493,87932,113406,173239,367913
630532,"Flexible intermediate bulk containers, for the packing of goods, of synthetic or man-made textile ...",96477,124666,167323,85004,173363,204366,240901,261614,308300,367000
280470,Phosphorus,136404,146871,204057,198045,208111,232313,279835,240149,249930,362794
392620,Articles of apparel and clothing accessories produced by the stitching or sticking together ...,92713,91590,96785,98058,106896,139836,157126,174099,198558,360932
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",11239,28446,56313,67277,47862,62857,54857,70286,127614,360555
720838,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",134,479,526,544,2341,18288,68437,86287,75520,359157
640219,Sports footwear with outer soles and uppers of rubber or plastics (excluding waterproof footwear ...,387327,308198,356454,413631,467186,452746,466081,479822,298185,358438
853120,"Indicator panels with liquid crystal devices """"LCD"""" or light emitting diodes """"LED"""" (excluding ...""",422,175,668,514,2007,127,1423,4521,9166,357487
870895,"Safety airbags with inflator system and parts thereof, for tractors, motor vehicles for the ...",177183,196092,186980,193131,174477,246406,289557,357912,308709,357333
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",199298,212164,257796,242024,247526,210958,265381,329177,322101,356653
420222,"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...",144030,198396,202275,240740,239205,318279,382959,459723,448349,356124
610711,"Men's or boys' underpants and briefs of cotton, knitted or crocheted",249217,297620,300474,304884,319988,291815,290653,259150,225299,351006
210111,"Extracts, essences and concentrates, of coffee",128997,264770,203658,221767,289451,310165,353773,374156,388194,349829
610230,"Women's or girls' overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, ...",84507,114668,190777,233902,211848,215950,230301,237191,231313,347477
721070,"Flat products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",169466,225599,210440,198126,132872,244247,166255,186345,294143,345302
441231,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of tropical ...",1053,9645,6726,5869,20005,47386,59111,91659,66988,342394
