Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
731511,Roller chain of iron or steel,19830,20864,17926,19271,20363,21375,21325,26674,24097,61792
845140,"Machines for washing, bleaching or dyeing textile yarns, fabrics or made-up textile articles ...",16293,18599,41690,56963,83019,96594,102687,111943,66908,61789
381590,"Reaction initiators, reaction accelerators and catalytic preparations, n.e.s. (excluding rubber ...",20734,26252,23245,22856,24988,38716,39241,44682,48034,61743
722012,"Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than hot-rolled, ...",72343,57080,66300,58188,62627,78796,90298,80427,75580,61700
30312,"Frozen Pacific salmon (excluding sockeye salmon """"red salmon"""")""""",6969,6188,9611,8739,12843,25990,33780,39057,50450,61622
903040,"Instruments and apparatus for measuring or checking electrical quantities, specifically for ...",8210,21487,18839,21955,23292,19243,32149,42716,39768,61509
300439,"Medicaments containing hormones or steroids used as hormones but not antibiotics, put up in ...""",25632,32533,38008,23110,41003,65908,78165,86565,94969,61485
842129,Machinery and apparatus for filtering or purifying liquids (excluding such machinery and apparatus ...,75925,52070,41915,67587,58035,53332,57161,57988,37701,61327
380993,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs, and other products ...",17990,16900,17254,13044,13774,19562,19941,17550,16068,61165
841899,"Parts of refrigerating or freezing equipment and heat pumps, n.e.s.",16729,24930,21474,62144,30541,26984,35983,42227,35926,61035
720221,"Ferro-silicon, containing by weight > 55% of silicon",48066,86702,221984,300264,59928,38165,35316,37917,40642,61021
850650,Lithium cells and batteries (excluding spent),18492,9783,10496,10803,13351,27929,34399,78234,156660,60785
844180,"Machinery for making up paper pulp, paper or paperboard, n.e.s.",24355,22387,44790,32346,38569,36296,38642,35866,39195,60617
400299,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip ...""",57623,56097,67243,62904,58906,90873,86904,85747,74476,60575
491110,"Trade advertising material, commercial catalogues and the like",4184,7950,3922,4716,6126,8289,6322,16032,12960,60418
940360,"Wooden furniture (excluding for offices, kitchens and bedrooms, and seats)",6860,6707,9039,10722,26996,20326,17617,28949,26068,60360
870431,"Motor vehicles for the transport of goods, with only spark-ignition internal combustion piston ...",7337,18083,25999,40479,54492,34227,26789,25145,13828,59691
170490,"Sugar confectionery not containing cocoa, incl. white chocolate (excl. chewing gum)",25499,33862,34065,30721,35835,40631,54682,65441,55327,59273
720836,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",45585,40705,51314,25464,40232,28462,57481,79460,62128,59217
550410,"Staple fibres of viscose rayon, not carded, combed or otherwise processed for spinning",122015,98926,87284,66959,103508,92334,88298,97634,73263,59045
853630,Apparatus for protecting electrical circuits for a voltage <= 1.000 V (excluding fuses and ...,58355,56143,55055,50853,50269,41743,36626,27413,28669,58967
848330,"Bearing housings for machinery, not incorporating ball or roller bearings; plain shaft bearings ...",12956,16291,22057,16293,19472,25824,24792,30711,33090,58934
720429,"Waste and scrap of alloy steel (excluding stainless steel, and waste and scrap, radioactive, ...",9093,9769,2911,1938,1636,3802,11345,23396,44089,58575
540269,"Multiple """"folded"""" or cabled synthetic filament yarn, incl. synthetic monofilament of < 67 ...""",19802,21327,24739,22601,21866,18998,12957,5628,5527,58555
847190,"Magnetic or optical readers, machines for transcribing data onto data media in coded form and ...",34552,41676,62375,58744,66882,77313,69470,82261,77834,58466
380894,"Disinfectants, put up in forms or packings for retail sale or as preparations or articles (excl. ...",16793,18231,24262,23017,21667,22946,29275,38636,36231,58449
550810,"Sewing thread of synthetic staple fibres, whether or not put up for retail sale",31988,39410,41267,45383,46857,58739,63343,61453,60846,58093
520839,"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing <= 200 g/m©÷, dyed ...",109053,113553,124636,118678,101184,99608,97346,107813,102231,58090
340319,"Lubricant preparations, incl. cutting-oil preparations, bolt or nut release preparations, anti-rust ...",18303,21127,25385,19360,23182,28282,33851,32616,30895,58024
702000,"Articles of glass, n.e.s.",64699,67081,107266,108601,115106,142933,135029,125509,182298,57842
846693,"Parts and accessories for machine tools for working metal by removing material, n.e.s.",25043,18505,54450,139588,32972,29096,33382,34897,31636,57814
846592,"Planing, milling or moulding -by cutting- machines, for working wood, cork, bone, hard rubber, ...",10947,24239,20386,26552,25048,27887,25286,35218,28534,57489
820750,"Tools for drilling, interchangeable (excluding rock-drilling or earth-boring tools and tools ...",20339,26834,24959,27489,31537,34056,46893,51102,47260,57478
30214,"Fresh or chilled Atlantic salmon """"Salmo salar"""" and Danube salmon """"Hucho hucho""""""""",8270,12602,16788,19366,27852,33803,44621,55888,55640,57265
392630,"Fittings for furniture, coachwork and the like, of plastics (excluding building components ...",149341,153924,178377,175816,216819,228753,241460,244540,222792,57231
852190,"Video recording or reproducing apparatus, whether or not incorporating a video tuner (excluding ...",22397,19273,21631,26524,38441,43079,56274,60516,46546,57136
691310,"Statuettes and other ornamental articles of porcelain or china, n.e.s.",1020,919,975,1424,1359,1334,1895,2434,2072,56918
848790,"Parts of machinery of chapter 84, not intended for a specific purpose, n.e.s.",14376,15796,12681,14415,18336,8245,10612,10753,6646,56896
